Job_ID,Job_Title,Location,Company_ID,Company_Name,Industry,Employee_Count,LinkedIn_Followers,Class,Detail_ID,Emp_level,Total_Applicants
J257,Software Engineer 2,"Pune, Maharashtra,India",C87,Dell Technologies,Information Technology & Services,1000,4170257,Class-3,175,NULL,82
J258,"Alyst, Integration Quality","Pune, Maharashtra,India",C215,Evolent Health,Hospitals and Health Care,10000,63236,Class-1,176,Associate,20
J259,Senior Specialist - Software Engineering,"Pune, Maharashtra,India",C216,LTI - Larsen & Toubro Infotech,IT Services and IT Consulting,10001,1760160,Class-1,177,Associate,25
J26,Tableau Data Platform Engineer,"Gurgaon, Harya,India",C2,Accenture in India,Information Technology & Services,10000,1399337,Class-1,25,Mid-Senior level,4
J260,"Software Engineer, II","Pune, Maharashtra,India",C217,Zebra Technologies,IT Services and IT Consulting,10000,260894,Class-1,178,Entry level,66
J261,Senior Software Engineer,"Pune, Maharashtra,India",C218,Intelerad Medical Systems,Medical Equipment Manufacturing,10000,64937,Class-1,179,Mid Senior level,7
J262,Software Engineer - Testing,"Hyderabad, Telangana,India",C219,pier Healthcare,IT Services and IT Consulting,10000,18355,Class-1,180,Associate,125
J263,"Embedded Software Engineer (C++, QT)","Pune, Maharashtra,India",C220,Goken America,Design Services,50,6475,Class-1,181,Mid Senior level,16
J264,Junior Architect & Junior Engineer,"msai, Aruchal Pradesh,India",C221,ArBis & Associates,Software Development,5000,120,Class-1,15,NULL,12
J265,Junior Software Engineers Bangalore Office Job,"Bengaluru, Kartaka,India",C222,TeamPlus Staffing Solution Pvt Ltd,Staffing and Recruiting,10000,3825,Class-1,182,Entry level,32
J266,Software Engineer - Testing,"Hyderabad, Telangana,India",C219,pier Healthcare,IT Services and IT Consulting,10000,18355,Class-1,183,Associate,135
J267,Senior Executive_Engineer_Linux_Pune,"Pune, Maharashtra,India",C6,_VOIS,Information Technology & Services,10000,84023,Class-1,184,Associate,6
J268,Software Developer- Data & Alytics,"Pune, Maharashtra,India",C223,Johnson Controls,Industrial Machinery Manufacturing,10000,1149075,Class-1,185,Entry level,72
J269,Structural Engineer l,"Mumbai, Maharashtra,India",C224,Worley,Professiol Services,1000,1001176,Class-1,186,NULL,136
J27,Junior Alytics Engineer - Associate 2,"Mumbai, Maharashtra,India",C20,State Street,Fincial Services ,1000,435909,Class-1,26,NULL,27
J270,Software Engineer 2,"Hyderabad, Telangana,India",C8,Microsoft,Computer Software,5000,17774440,Class-2,187,Entry level,91
J271,Software Engineer 2,"Bengaluru, Kartaka,India",C8,Microsoft,Computer Software,10000,17774440,Class-2,188,Entry level,102
J272,Software Engineer 2,"Hyderabad, Telangana,India",C8,Microsoft,Computer Software,10000,17774440,Class-2,13,Entry level,200
J273,Technical Support Engineering M4,"Hyderabad, Telangana,India",C8,Microsoft,Computer Software,10000,17774440,Class-2,189,Entry level,67
J274,Software Engineer 2,"Delhi, Delhi,India",C8,Microsoft,Computer Software,5000,17774440,Class-2,190,Entry level,106
J275,Support Engineer Internship Opportunity for University Graduate,"Daman and Diu,India",C8,Microsoft,Computer Software,10000,17774440,Class-2,191,Internship,10
J276,Support Engineer Internship Opportunity for University Graduate,"Delhi, Delhi,India",C8,Microsoft,Computer Software,200,17774440,Class-2,192,Internship,107
J277,SAP MM Ha Consultant,"Delhi, Delhi,India",C225,IBM,IT Services and IT Consulting,200,14405502,Class-2,193,NULL,91
J278,SAP MM Ha Consultant,"Mumbai, Maharashtra,India",C225,IBM,IT Services and IT Consulting,10000,14405502,Class-2,194,NULL,115
J279,Package Consultant  SAP SD VC,"Mumbai, Maharashtra,India",C225,IBM,IT Services and IT Consulting,10000,14405502,Class-2,28,NULL,1
J28,Data Alyst,Greater Kolkata Area,C21,Michael Page,Staffing & Recruiting,200,3007322,Class-3,27,Entry level,6
J280,Package Consultant SAP SD VC,"Delhi, Delhi,India",C225,IBM,IT Services and IT Consulting,5000,14405502,Class-2,37,NULL,3
J281,CAO Control Programs- Associate,"Mumbai, Maharashtra,India",C226,JPMorgan Chase & Co.,Fincial Services,10000,3321410,Class-3,58,NULL,5
J282,Infrastructure Development,"Hyderabad, Telangana,India",C226,JPMorgan Chase & Co.,Fincial Services,50,3321410,Class-3,195,NULL,17
J283,Quality Assurance_Disclosure of Interest,"Hyderabad, Telangana,India",C226,JPMorgan Chase & Co.,Fincial Services,10000,3321410,Class-3,196,NULL,52
J285,Lead - Talent Acquisition,"Bengaluru, Kartaka,India",C228,Volvo Group,Motor Vehicle Manufacturing,500,64576,Class-1,40,NULL,200
J288,Infrastructure Architect,"Bengaluru, Kartaka,India",C231,GlobalLogic,Computer Software,10000,642397,Class-1,200,Mid-Senior ,85
J289,Site Reliability Engineer 3,"Bengaluru, Kartaka,India",C232,Flipkart,Computer Software,50,2912399,Class-3,201,NULL,118
J29,Associate Business Alyst,"Bengaluru, Kartaka,India",C22,Novo Nordisk,Pharmaceuticals  ,1000,1302821,Class-1,28,NULL,1
J290,Test Alyst (Retail Banking),"Bengaluru, Kartaka,India",C233,Luxoft ,Information Technology & Services,10,764411,Class-1,202,Mid-Senior,96
J291,Team Lead,"Bengaluru, Kartaka,India",C234,Amazon,Computer Software,10000,27544868,Class-4,203,Mid-Senior,43
J292,Principal Software Engineer,"Bengaluru, Kartaka,India",C235,Dell Technologies ,Information Technology & Services,500,4170269,Class-3,204,Mid-Senior,21
J293,Senior Site Reliability Engineer,"Bengaluru, Kartaka,India",C236,BYJU'S,E-learning,10,1534350,Class-1,205,Associate,165
J294,Technical Architect,"Bengaluru, Kartaka,India",C237,HealthSignz Technologies Pvt. Ltd,Information Technology & Services ,50,4853,Class-1,206,NULL,58
J295,Senior Database Solutions Architect,"Bengaluru, Kartaka,India",C238,Pure Storage ,Information Technology & Services,1000,283462,Class-1,55,NULL,41
J296,Full Stack Developer,"Bengaluru, Kartaka,India",C239,NewSpace Research and Technologies,Aviation & Aerospace,200,72113,Class-1,207,Mid-Senior ,31
J297,Quality Magement Representative,"Dodballapura, Kartaka,India",C240,Accurate Bearing Components,Automotive,500,424,Class-1,160,NULL,95
J298,Technical system Adminstrator,"Bengaluru, Kartaka,India",C241,Tech Mahindra,Information Technology & Services,10001,3640847,Class-3,208,Mid-Senior ,57
J299,Alytics Engineer,"Bengaluru, Kartaka,India",C242,UPL,Farming,10001,315529,Class-1,209,Mid-Senior ,9
J300,Database Administrator,"Bengaluru, Kartaka,India",C243,Fidelity Investments ,Fincial Services,10001,712805,Class-1,210,NULL,51
J301,Admissions Counselor,"Bengaluru, Kartaka,India",C244,Bangalore School of Design ,Higher Education,10001,1085,Class-1,211,NULL,77
J303,MIM (Major Incident Magement),"Bengaluru, Kartaka,India",C246,LTI - Larsen & Toubro Infotech ,Information Technology & Services,500,1760206,Class-1,10,Associate,200
J304,Mechanical Drafter,"Bengaluru, Kartaka,India",C247,HCL Technologies ,Information Technology & Services,5001,4061543,Class-3,213,Mid-Senior ,200
J305,Hardware Design Engineer,"Bengaluru, Kartaka,India",C248,Growel Softech Ltd,Information Technology & Services,10001,20483,Class-1,214,Mid-Senior ,63
J307,Maintence Executive,"Bengaluru, Kartaka,India",C250,SATS Ltd.,Airlines/Aviation,1000,96828,Class-1,10,Associate,200
J308,Senior Engineer,"Bengaluru, Kartaka,India",C251,Trane Technologies ,Mechanical Or Industrial Engineering,10001,77201,Class-1,216,Associate,173
J309,EDA Tool Developer,"Bengaluru, Kartaka,India",C86,IBM ,Information Technology & Services,10001,14405435,Class-2,217,NULL,11
J31,Senior Alyst,"Pune, Maharashtra,India",C24,Barclays,Fincial Services ,10001,1251058,Class-1,18,Associate,10
J310,High Power Electronics Integration Senior Mager,"Bengaluru, Kartaka,India",C252,Ola ,Computer Software,200,845719,Class-1,218,Mid-Senior ,30
J311,Staff Software Engineer,"Bengaluru, Kartaka,India",C253,Arm,Semiconductors,10001,339185,Class-1,219,Associate,23
J315,Solution Architect,"Bengaluru, Kartaka,India",C257,EY,Accounting,1000,6654058,Class-3,222,Associate,35
J316,Lean Product Owner,"Bengaluru, Kartaka,India",C258,Northern Trust Corporation,Fincial Services,1000,332083,Class-1,213,Mid-Senior ,200
J317,SDN Cloud Consultant / Architect,"Bengaluru, Kartaka,India",C66,Juniper Networks,Computer Software,50,630166,Class-1,223,Director,87
J318,Mager - Piping,"Bengaluru, Kartaka,India",C259,SUEZ,Environmental Services,10001,291967,Class-1,224,Mid-Senior,51
J319,Safety Case Coorditor,"Bengaluru, Kartaka,India",C260,SBM uvata ,Oil & Energy ,1000,13587,Class-1,220,Mid-Senior,200
J32,Senior Data Alyst,"Bengaluru, Kartaka,India",C25,TE Connectivity,Electrical & Electronic Manufacturing,1000,442595,Class-1,29,Mid-Senior level,5
J321,CNC Manufacturing Design Engineer,"Bengaluru, Kartaka,India",C262,Apple ,Consumer Electronics,5000,17263708,Class-2,40,NULL,200
J324,Principal Software Engineer,"Bengaluru, Kartaka,India",C235,Dell Technologies ,Information Technology & Services,10001,4170269,Class-3,204,Mid-Senior,21
J325,Procurement Specialist,"Bengaluru, Kartaka,India",C265,ABB,Electrical & Electronic Manufacturing ,1000,2855753,Class-3,40,NULL,200
J326,"SoC Physical Design Engineer, Google Cloud","Bengaluru, Kartaka,India",C266,Google,Computer Software,50,26114780,Class-4,227,NULL,89
J327,Test Alyst (Cards & Payments),"Chennai, Tamil nadu,India",C233,Luxoft ,Information Technology & Services,10001,764411,Class-1,228,Mid-Senior,133
J33,Data Alyst,"Bengaluru, Kartaka,India",C26,Gameskraft,Computer Games,10001,21553,Class-1,30,Mid-Senior level,200
J333,Lead System Engineer - Windows,"Chennai, Tamil nadu,India",C271,Societe Generale Global Solution Centre ,Information Technology & Services,10001,224658,Class-1,234,NULL,32
J334,Hiring Interns across functions,"Chennai, Tamil nadu,India",C272,Pickyourtrail ,"Leisure, Travel & Tourism",10001,16636,Class-1,235,Internship,56
J335,Network Engineer,"Chennai, Tamil nadu,India",C273,TNQ Technologies ,Publishing,5000,21819,Class-1,236,Mid-Senior,103
J336,Part Time LIC-AGENCY,"Chennai, Tamil nadu,India",C274,LIC ,Insurance,200,98841,Class-1,129,NULL,0
J337,Operations And ERP Consulting,"Chennai, Tamil nadu,India",C275,Avaesa ,Retail ,10001,2269,Class-1,237,Internship,7
J338,Summer Internship - Sales,"Chennai, Tamil nadu,India",C276,Procter & Gamble,Consumer Goods,10001,7040644,Class-3,238,NULL,47
J339,Capital Market (Fince),"Chennai, Tamil nadu,India",C277,Star Fing ,Fincial Services,10001,3946,Class-1,239,Internship,3
J34,Data Alyst,"Bengaluru, Kartaka,India",C27,Edu Angels India Private Limited,Consumer Services ,10001,32,Class-1,31,Mid-Senior level,32
J340,Ops Support Assistant,"Chennai, Tamil nadu,India",C56,Citi,Fincial Services,10000,3813311,Class-3,240,NULL,6
J341,Assistant Fince Controller,"Chennai, Tamil nadu,India",C278,Hilton ,Hospitality,10001,1660195,Class-1,241,Enrty,108
J342,COBOL Developer,"Chennai, Tamil nadu,India",C279,Zenitus Technologies,Information Technology & Services,10001,2057,Class-1,242,Enrty,3
J343,Data Entry Operator,"Chennai, Tamil nadu,India",C280,Red Group ,Real Estate,10001,8672,Class-1,243,Enrty,30
J348,Application Database Administrator: RDBMS,"Chennai, Tamil nadu,India",C86,IBM ,Information Technology & Services,10001,14405435,Class-2,37,NULL,3
J35,Senior Alyst,"Bengaluru, Kartaka,India",C28,Hotstar,Computer Software ,10001,719232,Class-1,32,Associate,69
J351,Project Mager,"Chennai, Tamil nadu,India",C24,Barclays,Fincial Services ,5000,1251058,Class-1,249,Mid-Senior,29
J352,Database Administrator,"Chennai, Tamil nadu,India",C60,R1 RCM ,Hospital & Health Care,10000,98792,Class-1,250,NULL,2
J353,3D Designer,"Chennai, Tamil nadu,India",C287,Zero Gravity Photography,Photography,10000,2781,Class-1,251,NULL,48
J38,PRODUCT PRICING ALYST I,"Bengaluru, Kartaka,India",C25,TE Connectivity,Electrical & Electronic Manufacturing,10,442595,Class-1,35,Associate,33
J39,Growth Alyst,"Bengaluru, Kartaka,India",C9,Turing.com,Information Technology & Services,10000,127941,Class-1,34,NULL,84
J40,Business Alyst,"Bengaluru, Kartaka,India",C22,Novo Nordisk,Pharmaceuticals  ,200,1302821,Class-1,37,NULL,3
J41,Alyst,"Pune, Maharashtra,India",C24,Barclays,Fincial Services ,5000,1251058,Class-1,18,Associate,10
J43,MI Alyst,"Gurgaon, Harya,India",C1,American Express  ,Fincial Services ,10000,1701642,Class-1,39,NULL,45
J44,Data Alyst (Temporary Full Time),"Hyderabad, Telangana,India",C31,Electronic Arts (EA),Computer Games,500,1075143,Class-1,40,NULL,200
J47,Business Insights Alyst (Waymo),"Gurgaon, Harya,India",C34,TaskUs ,Outsourcing/Offshoring,10001,139474,Class-1,43,Full-time,200
J48,Alyst/Data Alytics,"Hyderabad, Telangana,India",C35,D. E. Shaw India Private Limited,Fincial Services,1000,72352,Class-1,13,Entry level,200
J49,SC Master Data Alyst,"Gurgaon, Harya,India",C36,Medtronic,Medical Device  ,10001,1417673,Class-1,44,Mid-Senior level,70
